regiao,estado,municipio,coduf,codmun,codRegiaoSaude,nomeRegiaoSaude,data,semanaEpi,populacaoTCU2019,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,Recuperadosnovos,emAcompanhamentoNovos,interior/metropolitana,Unnamed: 17
Nordeste,PB,Campina Grande,25,250400.0,25016.0,16ª REGIAO,2021-06-01,22,409731.0,29465,171,896,4,,,0.0,
Nordeste,PB,Campina Grande,25,250400.0,25016.0,16ª REGIAO,2021-06-02,22,409731.0,29633,168,901,5,,,0.0,
Nordeste,PB,Campina Grande,25,250400.0,25016.0,16ª REGIAO,2021-06-03,22,409731.0,29951,318,904,3,,,0.0,
Nordeste,PB,Campina Grande,25,250400.0,25016.0,16ª REGIAO,2021-06-04,22,409731.0,30207,256,907,3,,,0.0,
Nordeste,PB,Campina Grande,25,250400.0,25016.0,16ª REGIAO,2021-06-05,22,409731.0,30468,261,914,7,,,0.0,
Nordeste,PB,Campina Grande,25,250400.0,25016.0,16ª REGIAO,2021-06-06,23,409731.0,30698,230,920,6,,,0.0,
Nordeste,PB,Campina Grande,25,250400.0,25016.0,16ª REGIAO,2021-06-07,23,409731.0,30936,238,922,2,,,0.0,
Nordeste,PB,Campina Grande,25,250400.0,25016.0,16ª REGIAO,2021-06-08,23,409731.0,31021,85,923,1,,,0.0,
Nordeste,PB,Campina Grande,25,250400.0,25016.0,16ª REGIAO,2021-06-09,23,409731.0,31118,97,928,5,,,0.0,
Nordeste,PB,Campina Grande,25,250400.0,25016.0,16ª REGIAO,2021-06-10,23,409731.0,31725,607,936,8,,,0.0,
Nordeste,PB,Campina Grande,25,250400.0,25016.0,16ª REGIAO,2021-06-11,23,409731.0,32006,281,943,7,,,0.0,
Nordeste,PB,Campina Grande,25,250400.0,25016.0,16ª REGIAO,2021-06-12,23,409731.0,32257,251,948,5,,,0.0,
Nordeste,PB,Campina Grande,25,250400.0,25016.0,16ª REGIAO,2021-06-13,24,409731.0,32478,221,954,6,,,0.0,
