_id,dataNotificacao,cnes,ocupacaoSuspeitoCli,ocupacaoSuspeitoUti,ocupacaoConfirmadoCli,ocupacaoConfirmadoUti,saidaSuspeitaObitos,saidaSuspeitaAltas,saidaConfirmadaObitos,saidaConfirmadaAltas,origem,_p_usuario,estadoNotificacao,municipioNotificacao,estado,municipio,excluido,validado,_created_at,_updated_at
HaMpnc7zxP,2021-06-01,2676060.0,63.0,21.0,0.0,9.0,0.0,0.0,0.0,0.0,parse-cloud,_User$Kr8GF1edDx,Paraíba,Campina Grande,Paraíba,Campina Grande,False,False,2021-06-01T19:18:39.385Z,2021-06-01T19:18:39.385Z
fKW5kxannc,2021-06-01,2363070.0,92.0,58.0,92.0,58.0,2.0,0.0,0.0,0.0,parse-cloud,_User$Eu3qeTtHXO,Paraíba,Campina Grande,Paraíba,Campina Grande,False,False,2021-06-01T21:51:41.692Z,2021-06-01T21:51:41.692Z
oTaC2FmOO4,2021-06-01,220337.0,39.0,58.0,39.0,58.0,0.0,2.0,2.0,6.0,parse-cloud,_User$VgB5jSCEUE,Paraíba,Campina Grande,Paraíba,Campina Grande,False,False,2021-06-02T15:00:18.960Z,2021-06-02T15:00:18.960Z
grOrPw4Ndd,2021-06-01,2613743.0,14.0,5.0,19.0,6.0,0.0,0.0,0.0,0.0,parse-cloud,_User$ykxJe4vfWZ,Paraíba,Campina Grande,Paraíba,Campina Grande,False,False,2021-06-02T16:40:44.523Z,2021-06-02T16:40:44.523Z
JKdLVDVA4b,2021-06-02,2676060.0,70.0,22.0,0.0,10.0,0.0,0.0,0.0,0.0,parse-cloud,_User$Kr8GF1edDx,Paraíba,Campina Grande,Paraíba,Campina Grande,False,False,2021-06-02T17:33:42.567Z,2021-06-02T17:33:42.567Z
K1Y64LYWhh,2021-06-02,2363070.0,93.0,51.0,93.0,51.0,0.0,0.0,2.0,4.0,parse-cloud,_User$Eu3qeTtHXO,Paraíba,Campina Grande,Paraíba,Campina Grande,False,False,2021-06-02T21:53:31.080Z,2021-06-02T21:53:31.080Z
4cS7Tk3Aq3,2021-06-01,2362287.0,71.0,14.0,8.0,7.0,0.0,0.0,0.0,0.0,parse-cloud,_User$JERHxuCJ0m,Paraíba,Campina Grande,Paraíba,Campina Grande,False,False,2021-06-02T23:19:09.189Z,2021-06-02T23:19:09.189Z
3fnuRbxJUX,2021-06-02,220337.0,43.0,60.0,43.0,60.0,1.0,2.0,4.0,3.0,parse-cloud,_User$VgB5jSCEUE,Paraíba,Campina Grande,Paraíba,Campina Grande,False,False,2021-06-03T13:00:33.169Z,2021-06-03T13:00:33.169Z
zGZOby8BjB,2021-06-03,2363070.0,79.0,54.0,79.0,54.0,0.0,18.0,1.0,0.0,parse-cloud,_User$Eu3qeTtHXO,Paraíba,Campina Grande,Paraíba,Campina Grande,False,False,2021-06-03T21:56:37.255Z,2021-06-03T21:56:37.255Z
P026IQRagN,2021-06-03,220337.0,44.0,60.0,44.0,60.0,2.0,5.0,1.0,6.0,parse-cloud,_User$VgB5jSCEUE,Paraíba,Campina Grande,Paraíba,Campina Grande,False,False,2021-06-04T13:11:46.428Z,2021-06-04T13:11:46.428Z
