_id,dataNotificacao,cnes,ocupacaoSuspeitoCli,ocupacaoSuspeitoUti,ocupacaoConfirmadoCli,ocupacaoConfirmadoUti,saidaSuspeitaObitos,saidaSuspeitaAltas,saidaConfirmadaObitos,saidaConfirmadaAltas,origem,_p_usuario,estadoNotificacao,municipioNotificacao,estado,municipio,excluido,validado,_created_at,_updated_at
HOu3oguvzX,2020-05-16T19:35:46.340Z,2362287,117.0,16.0,15.0,6.0,2.0,16.0,0.0,14.0,parse-cloud,_User$HxPoAaK6BU,Paraíba,Campina Grande,Paraíba,Campina Grande,False,False,2020-05-16T19:42:03.162Z,2020-08-01T12:43:05.929Z
Emi101C2x3,2020-05-18T03:00:00.000Z,2362287,62.0,8.0,9.0,5.0,0.0,1.0,0.0,0.0,parse-cloud,_User$HxPoAaK6BU,Paraíba,Campina Grande,Paraíba,Campina Grande,False,False,2020-05-18T04:25:29.619Z,2020-08-01T12:19:19.152Z
ATqwBk8arQ,2020-05-17T03:00:00.000Z,2363070,51.0,25.0,51.0,25.0,4.0,2.0,4.0,2.0,parse-cloud,_User$Eu3qeTtHXO,Paraíba,Campina Grande,Paraíba,Campina Grande,False,False,2020-05-18T15:37:54.451Z,2020-08-01T12:35:36.421Z
fL3tcBXqMl,2020-05-18T03:00:00.000Z,2363070,56.0,21.0,56.0,21.0,2.0,0.0,0.0,4.0,parse-cloud,_User$Eu3qeTtHXO,Paraíba,Campina Grande,Paraíba,Campina Grande,False,False,2020-05-19T10:22:36.425Z,2020-08-01T12:16:30.316Z
AJ7PRe8nnY,2020-05-21T01:09:31.067Z,2362287,80.0,10.0,9.0,2.0,0.0,3.0,0.0,1.0,parse-cloud,_User$HxPoAaK6BU,Paraíba,Campina Grande,Paraíba,Campina Grande,False,False,2020-05-21T01:14:10.118Z,2020-08-01T11:08:01.681Z
hEQw3vYTab,2020-05-18T03:00:00.000Z,2363070,54.0,26.0,54.0,26.0,2.0,0.0,1.0,4.0,parse-cloud,_User$Eu3qeTtHXO,Paraíba,Campina Grande,Paraíba,Campina Grande,False,False,2020-05-22T11:44:28.276Z,2020-08-01T12:13:23.670Z
lRE3XoiRnI,2020-05-19T03:00:00.000Z,2363070,51.0,29.0,51.0,29.0,1.0,0.0,2.0,0.0,parse-cloud,_User$Eu3qeTtHXO,Paraíba,Campina Grande,Paraíba,Campina Grande,False,False,2020-05-22T12:31:29.596Z,2020-08-01T11:47:11.286Z
k3yY7AYxD6,2020-05-20T03:00:00.000Z,2363070,50.0,28.0,50.0,28.0,2.0,2.0,6.0,1.0,parse-cloud,_User$Eu3qeTtHXO,Paraíba,Campina Grande,Paraíba,Campina Grande,False,False,2020-05-22T12:33:09.641Z,2020-08-01T11:25:12.609Z
Mhhofshihi,2020-05-21T03:00:00.000Z,2363070,43.0,28.0,43.0,28.0,2.0,0.0,1.0,4.0,parse-cloud,_User$Eu3qeTtHXO,Paraíba,Campina Grande,Paraíba,Campina Grande,False,False,2020-05-22T12:35:51.450Z,2020-08-01T11:04:50.758Z
GwbMjaptxM,2020-05-23T16:41:28.807Z,2362287,61.0,7.0,4.0,5.0,0.0,10.0,0.0,3.0,parse-cloud,_User$HxPoAaK6BU,Paraíba,Campina Grande,Paraíba,Campina Grande,False,False,2020-05-23T16:51:52.369Z,2020-08-01T10:05:44.322Z
