data,ultima_atualizacao,municipio,codigoIBGE,mesorregiao,microrregiao,semanaEpidemiologica,populacao,confirmadosPorDia,confirmadosAcumulados,obitosPorDia,obitosAcumulados,letalidade,confirmadosPor100MilHabitantes,obitosPor100MilHabitantes,recuperadosPorDia,recuperadosAcumulados,suspeitosPorDia,suspeitosAcumulados,descartadosPorDia,descartadosAcumulados,testesPorDia,testesAcumulados,pessoasTratamentoPorDia,pessoasTratamentoAcumuladas,internacoesPorDia,internacoesAcumuladas,pessoasIsolamentoPorDia,pessoasIsolamentoAcumuladas,utiDisponiveis,utiOcupadas,utiTotal,enfermariaDisponiveis,enfermariaOcupadas,enfermariaTotal,leitosDisponiveisTotal,leitosOcupadosTotal,leitosTotal,vacinadosDose1,vacinadosDose1Dia,vacinadosDose2,vacinadosDose2Dia,vacinadosTotal,vacinadosDoseUnica,vacinadosDoseUnicaDia,faixaEtariaVacinacao
2021-06-01,FALSE,Campina Grande,2504009,Agreste,Campina Grande,23,385213,120,31559,3,813,"0,025761273",8193,"211,0520673",270,30210,,,,,,,,,-4.0,335.0,,,12.0,138.0,150.0,21.0,133.0,154.0,,,,88459.0,17.0,38795.0,2.0,127254.0,0.0,,
2021-06-02,FALSE,Campina Grande,2504009,Agreste,Campina Grande,23,385213,553,32112,4,817,"0,025442202",8336,"212,0904539",189,30399,,,,,,,,,4.0,339.0,,,11.0,146.0,157.0,20.0,136.0,156.0,,,,89879.0,1420.0,38795.0,0.0,128674.0,0.0,,
2021-06-03,FALSE,Campina Grande,2504009,Agreste,Campina Grande,23,385213,367,32479,4,821,"0,025277872",8431,"213,1288404",248,30647,,,,,,,,,-5.0,334.0,,,19.0,139.0,158.0,15.0,127.0,142.0,,,,90158.0,279.0,38897.0,102.0,129055.0,0.0,,
2021-06-04,FALSE,Campina Grande,2504009,Agreste,Campina Grande,23,385213,229,32708,6,827,"0,025284334",8491,"214,6864202",265,30912,,,,,,,,,-8.0,326.0,,,15.0,135.0,150.0,27.0,136.0,163.0,,,,91713.0,1555.0,40007.0,1110.0,131720.0,0.0,,
2021-06-05,FALSE,Campina Grande,2504009,Agreste,Campina Grande,23,385213,368,33076,4,831,"0,025123957",8586,"215,7248068",287,31199,,,,,,,,,7.0,333.0,,,21.0,140.0,161.0,14.0,151.0,165.0,,,,93065.0,1352.0,40007.0,0.0,133072.0,0.0,,
2021-06-06,FALSE,Campina Grande,2504009,Agreste,Campina Grande,24,385213,27,33103,4,835,"0,0252243",8593,"216,7631934",184,31383,,,,,,,,,3.0,336.0,,,18.0,145.0,163.0,14.0,143.0,157.0,,,,93355.0,290.0,40007.0,0.0,133362.0,0.0,,
2021-06-07,FALSE,Campina Grande,2504009,Agreste,Campina Grande,24,385213,22,33125,5,840,"0,025358491",8599,"218,0611765",83,31466,,,,,,,,,-8.0,328.0,,,26.0,136.0,162.0,14.0,131.0,145.0,,,,93355.0,0.0,40007.0,0.0,133362.0,0.0,,
2021-06-08,FALSE,Campina Grande,2504009,Agreste,Campina Grande,24,385213,62,33187,4,844,"0,025431645",8615,"219,0995631",124,31590,,,,,,,,,-2.0,326.0,,,28.0,127.0,155.0,27.0,120.0,147.0,,,,98321.0,4966.0,40007.0,0.0,138328.0,0.0,,
2021-06-09,FALSE,Campina Grande,2504009,Agreste,Campina Grande,24,385213,39,33226,6,850,"0,025582375",8625,"220,6571429",82,31672,,,,,,,,,-24.0,302.0,,,32.0,128.0,160.0,34.0,126.0,160.0,,,,99275.0,954.0,40007.0,0.0,139282.0,0.0,,
2021-06-10,FALSE,Campina Grande,2504009,Agreste,Campina Grande,24,385213,1315,34541,8,858,"0,024840045",8967,"222,733916",723,32395,,,,,,,,,-3.0,299.0,,,32.0,128.0,160.0,37.0,125.0,162.0,,,,102069.0,2794.0,40007.0,0.0,142076.0,0.0,,
2021-06-11,FALSE,Campina Grande,2504009,Agreste,Campina Grande,24,385213,377,34918,12,870,"0,024915516",9065,"225,8490757",392,32787,,,,,,,,,0.0,299.0,,,31.0,132.0,163.0,39.0,128.0,167.0,,,,105185.0,3116.0,40007.0,0.0,145192.0,0.0,,
2021-06-12,FALSE,Campina Grande,2504009,Agreste,Campina Grande,24,385213,311,35229,4,874,"0,024809106",9145,"226,8874623",471,33258,,,,,,,,,13.0,312.0,,,34.0,127.0,161.0,22.0,131.0,153.0,,,,105676.0,491.0,40007.0,0.0,145683.0,0.0,,
2021-06-13,FALSE,Campina Grande,2504009,Agreste,Campina Grande,25,385213,56,35285,6,880,"0,024939776",9160,"228,4450421",28,33286,,,,,,,,,-22.0,290.0,,,41.0,123.0,164.0,37.0,125.0,162.0,,,,106598.0,922.0,40007.0,0.0,146605.0,0.0,,
2021-06-14,FALSE,Campina Grande,2504009,Agreste,Campina Grande,25,385213,208,35493,4,884,"0,02490632",9214,"229,4834286",192,33478,,,,,,,,,4.0,294.0,,,39.0,123.0,162.0,35.0,127.0,162.0,,,,107798.0,1200.0,40329.0,322.0,148127.0,0.0,,
2021-06-15,FALSE,Campina Grande,2504009,Agreste,Campina Grande,25,385213,158,35651,4,888,"0,024908137",9255,"230,5218152",436,33914,,,,,,,,,-1.0,293.0,,,35.0,124.0,159.0,40.0,121.0,161.0,,,,107864.0,66.0,40329.0,0.0,148193.0,0.0,,
2021-06-16,FALSE,Campina Grande,2504009,Agreste,Campina Grande,25,385213,557,36208,5,893,"0,024663058",9399,"231,8197984",261,34175,,,,,,,,,4.0,297.0,,,35.0,124.0,159.0,35.0,121.0,156.0,,,,107921.0,57.0,40329.0,0.0,148250.0,0.0,,
2021-06-17,FALSE,Campina Grande,2504009,Agreste,Campina Grande,25,385213,308,36516,4,897,"0,024564574",9479,"232,858185",309,34484,,,,,,,,,4.0,301.0,,,35.0,124.0,159.0,32.0,116.0,148.0,,,,113609.0,5688.0,40329.0,0.0,153938.0,0.0,,
